Application ; Mapping ; Mode ; Communication % ; Timing error % ; Power error % ; Energy error %
MLP1 ; [[1], [1]] ; P ; 5 ; 0.21 ; -0.49 ; -0.28 ; 
MLP1 ; [[1], [1]] ; CG ; 5 ; 0.37 ; -0.53 ; -0.16 ; 
MLP1 ; [[1], [2]] ; P ; 51 ; 0.21 ; -3.11 ; -2.91 ; 
MLP1 ; [[1], [2]] ; CG ; 52 ; 0.34 ; -2.22 ; -1.88 ; 
MLP1 ; [[1, 1, 1], [1, 1, 1], [1]] ; P ; 13 ; 0.29 ; -0.88 ; -0.59 ; 
MLP1 ; [[1, 1, 1], [1, 1, 1], [1]] ; CG ; 14 ; 0.56 ; -1.64 ; -1.09 ; 
MLP1 ; [[1, 2, 3], [1, 2, 3], [1]] ; P ; 26 ; -0.03 ; -2.02 ; -2.05 ; 
MLP1 ; [[1, 2, 3], [1, 2, 3], [1]] ; CG ; 28 ; 1.43 ; -1.42 ; -0.01 ; 
MLP1 ; [[1, 2, 3], [4, 5, 6], [7]] ; P ; 70 ; -2.85 ; -3.13 ; -5.89 ; 
MLP1 ; [[1, 2, 3], [4, 5, 6], [7]] ; CG ; 68 ; 0.82 ; -4.88 ; -4.10 ; 
MLP1 ; [[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1]] ; P ; 25 ; 0.61 ; -0.72 ; -0.11 ; 
MLP1 ; [[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1]] ; CG ; 31 ; 0.95 ; -2.17 ; -1.24 ; 
MLP1 ; [[1, 2, 3, 4, 5, 6, 7], [1, 2, 3, 4, 5, 6, 7], [1]] ; P ; 56 ; 0.74 ; -2.72 ; -2.00 ; 
MLP1 ; [[1, 2, 3, 4, 5, 6, 7], [1, 2, 3, 4, 5, 6, 7], [1]] ; CG ; 55 ; -2.21 ; -4.74 ; -6.85 ; 
MLP2 ; [[1], [1], [1]] ; P ; 2 ; 0.08 ; -0.41 ; -0.33 ; 
MLP2 ; [[1], [1], [1]] ; CG ; 2 ; 0.13 ; -1.84 ; -1.71 ; 
MLP2 ; [[1], [2], [3]] ; P ; 66 ; 0.19 ; -4.74 ; -4.56 ; 
MLP2 ; [[1], [2], [3]] ; CG ; 66 ; 0.39 ; -3.65 ; -3.28 ; 
MLP2 ; [[1, 1, 1], [1, 1, 1], [1, 1, 1], [1]] ; P ; 5 ; -0.15 ; -0.96 ; -1.11 ; 
MLP2 ; [[1, 1, 1], [1, 1, 1], [1, 1, 1], [1]] ; CG ; 6 ; -0.06 ; -1.97 ; -2.03 ; 
MLP2 ; [[1, 2, 3], [1, 2, 3], [1, 2, 3], [1]] ; P ; 8 ; -0.25 ; -0.93 ; -1.17 ; 
MLP2 ; [[1, 2, 3], [1, 2, 3], [1, 2, 3], [1]] ; CG ; 9 ; 0.38 ; -1.62 ; -1.25 ; 
MLP2 ; [[1, 2, 3], [4, 5, 6], [4, 5, 6], [7]] ; P ; 60 ; -0.60 ; -4.23 ; -4.81 ; 
MLP2 ; [[1, 2, 3], [4, 5, 6], [4, 5, 6], [7]] ; CG ; 59 ; 0.35 ; -4.94 ; -4.61 ; 
MLP2 ; [[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1]] ; P ; 11 ; -0.33 ; -0.57 ; -0.90 ; 
MLP2 ; [[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1]] ; CG ; 15 ; -0.21 ; -2.46 ; -2.66 ; 
MLP2 ; [[1, 2, 3, 4, 5, 6, 7], [1, 2, 3, 4, 5, 6, 7], [1, 2, 3, 4, 5, 6, 7], [1]] ; P ; 28 ; 0.04 ; -1.85 ; -1.81 ; 
MLP2 ; [[1, 2, 3, 4, 5, 6, 7], [1, 2, 3, 4, 5, 6, 7], [1, 2, 3, 4, 5, 6, 7], [1]] ; CG ; 28 ; -1.13 ; -4.22 ; -5.30 ; 
MLP3 ; [[1, 1], [1, 1], [1, 1], [1]] ; P ; 3 ; -0.32 ; -1.35 ; -1.66 ; 
MLP3 ; [[1, 1], [1, 1], [1, 1], [1]] ; CG ; 4 ; -0.23 ; -2.50 ; -2.72 ; 
